kind,N,best_T,best_median_ms
almost_sorted,24300,5,0.0
almost_sorted,24400,5,0.0
almost_sorted,24500,5,0.0
almost_sorted,24600,5,0.0
almost_sorted,24700,5,0.0
almost_sorted,24800,5,0.0
almost_sorted,24900,5,0.0
almost_sorted,25000,5,0.0
almost_sorted,25100,5,0.0
almost_sorted,25200,5,0.0
almost_sorted,25300,5,0.0
almost_sorted,25400,5,0.0
almost_sorted,25500,5,0.0
almost_sorted,25600,5,0.0
almost_sorted,25700,5,0.0
almost_sorted,25800,5,0.0
almost_sorted,25900,5,0.0
almost_sorted,26000,5,0.0
almost_sorted,26100,5,0.0
almost_sorted,26200,5,0.0
almost_sorted,26300,5,0.0
almost_sorted,26400,5,0.0
almost_sorted,26500,5,0.0
almost_sorted,26600,5,0.0
almost_sorted,26700,5,0.0
almost_sorted,26800,5,0.0
almost_sorted,26900,5,0.0
almost_sorted,27000,5,0.0
almost_sorted,27100,5,0.0
almost_sorted,27200,5,0.0
almost_sorted,27300,5,0.0
almost_sorted,27400,5,0.0
almost_sorted,27500,5,0.0
almost_sorted,27600,5,0.0
almost_sorted,27700,5,0.0
almost_sorted,27800,5,0.0
almost_sorted,27900,5,0.0
almost_sorted,28000,5,0.0
almost_sorted,28100,5,0.0
almost_sorted,28200,5,0.0
almost_sorted,28300,5,0.0
almost_sorted,28400,5,0.0
almost_sorted,28500,5,0.0
almost_sorted,28600,5,0.0
almost_sorted,28700,5,0.0
almost_sorted,28800,5,0.0
almost_sorted,28900,5,0.0
almost_sorted,29000,5,0.0
