mode,N,seed,Shat,time_ms
wide,2600,3420102170626,0.968474312440343,0.062524000000000
wide,2600,3420102170627,0.908645783486499,0.063184000000000
wide,2600,3420102170628,1.058217105871108,0.063551000000000
wide,2600,3420102170629,1.024563558334571,0.064022000000000
wide,2600,3420102170630,1.028302841394186,0.063782000000000
wide,2600,3420102170631,0.901167217367269,0.062514000000000
wide,2600,3420102170632,0.826381556174964,0.061634000000000
wide,2600,3420102170633,0.897427934307654,0.062346000000000
wide,2600,3420102170634,0.904906500426884,0.062598000000000
wide,2600,3420102170635,0.908645783486499,0.063530000000000
wide,2600,3420102170636,1.020824275274956,0.063582000000000
wide,2600,3420102170637,0.975952878559573,0.062776000000000
wide,2600,3420102170638,0.908645783486499,0.075892000000000
wide,2600,3420102170639,0.938560047963421,0.062472000000000
wide,2600,3420102170640,0.942299331023036,0.197348000000000
wide,2600,3420102170641,0.975952878559573,0.063404000000000
wide,2600,3420102170642,0.931081481844191,0.072111000000000
wide,2600,3420102170643,0.998388576917265,0.062043000000000
wide,2600,3420102170644,1.039520690573032,0.062923000000000
wide,2600,3420102170645,1.005867143036495,0.063268000000000
wide,2600,3420102170646,0.871252952890347,0.061488000000000
wide,2600,3420102170647,0.874992235949962,0.061320000000000
wide,2600,3420102170648,0.912385066546114,0.062314000000000
wide,2600,3420102170649,1.009606426096110,0.061728000000000
wide,2600,3420102170650,0.897427934307654,0.063456000000000
wide,2600,3420102170651,0.934820764903806,0.062084000000000
wide,2600,3420102170652,0.983431444678804,0.062640000000000
wide,2600,3420102170653,0.979692161619188,0.062891000000000
wide,2600,3420102170654,0.889949368188423,0.063090000000000
wide,3100,4077814126125,1.038073226162858,0.075138000000000
wide,3100,4077814126126,1.031800880385439,0.075976000000000
wide,3100,4077814126127,0.837358161285448,0.074677000000000
wide,3100,4077814126128,1.003575324387053,0.075494000000000
wide,3100,4077814126129,0.906353964837058,0.075054000000000
wide,3100,4077814126130,0.931443347946734,0.073975000000000
wide,3100,4077814126131,0.918898656391896,0.073630000000000
wide,3100,4077814126132,0.890673100393510,0.073608000000000
wide,3100,4077814126133,0.940851866612862,0.075054000000000
wide,3100,4077814126134,0.953396558167701,0.074657000000000
